bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
2262,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Office,1,17500.0
2268,Mixed-Humid,AL,NaturalGas,gen3_t5_cfl,Electricity,Warehouse and Storage,6,37500.0
2275,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Warehouse and Storage,6,37500.0
2278,Hot-Humid,AL,NaturalGas,gen4_led,NaturalGas,Office,5,17500.0
2299,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Office,0,3000.0
2413,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,3,1000.0
2498,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,7,350000.0
2524,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,5,3000.0
2571,Hot-Humid,AL,Electricity,gen1_t12_incandescent,Electricity,Mercantile,3,17500.0
2591,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Warehouse and Storage,2,75000.0
2792,Mixed-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Mercantile,4,7500.0
2855,Hot-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,4,7500.0
2868,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Office,3,7500.0
2908,Hot-Humid,AL,Electricity,gen2_t8_halogen,Electricity,Food Service,6,3000.0
2921,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Warehouse and Storage,6,37500.0
3000,Mixed-Humid,AL,Electricity,gen4_led,NaturalGas,Mercantile,3,7500.0
3050,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,NaturalGas,Education,4,150000.0
3160,Mixed-Humid,AL,NaturalGas,gen4_led,Electricity,Warehouse and Storage,2,75000.0
3169,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Mercantile,1,7500.0
3184,Mixed-Humid,AL,Electricity,gen2_t8_halogen,NaturalGas,Office,6,7500.0
3311,Mixed-Humid,AL,NaturalGas,gen2_t8_halogen,Electricity,Office,1,3000.0
3357,Mixed-Humid,AL,NaturalGas,gen1_t12_incandescent,Electricity,Mercantile,2,17500.0
