bldg_id,in.building_america_climate_zone,in.state,in.heating_fuel,in.interior_lighting_generation,in.service_water_heating_fuel,in.comstock_building_type_group,in.vintage,in.sqft
31598,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,2,7500.0
31607,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Food Service,5,37500.0
31620,Hot-Dry,CA,Electricity,gen4_led,Electricity,Food Service,4,3000.0
31639,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,6,17500.0
31643,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,7,7500.0
31670,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,2,17500.0
31694,Marine,CA,Electricity,gen4_led,Electricity,Office,6,37500.0
31700,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,3,37500.0
31704,Marine,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,3,37500.0
31707,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Office,1,3000.0
31713,Cold,CA,Propane,gen2_t8_halogen,Propane,Office,1,7500.0
31746,Hot-Dry,CA,Electricity,gen3_t5_cfl,Electricity,Warehouse and Storage,4,17500.0
31753,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Mercantile,0,17500.0
31765,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,5,75000.0
31779,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,1,75000.0
31783,Hot-Dry,CA,NaturalGas,gen3_t5_cfl,Electricity,Mercantile,4,17500.0
31798,Marine,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,4,17500.0
31818,Hot-Dry,CA,Electricity,gen4_led,NaturalGas,Warehouse and Storage,4,7500.0
31825,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,1,37500.0
31827,Hot-Dry,CA,Electricity,gen4_led,Electricity,Office,1,7500.0
31858,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,7,75000.0
31862,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Warehouse and Storage,5,17500.0
31866,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Warehouse and Storage,2,17500.0
31871,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,2,37500.0
31878,Hot-Dry,CA,NaturalGas,gen4_led,Electricity,Mercantile,5,17500.0
31879,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Warehouse and Storage,3,3000.0
31884,Hot-Dry,CA,NaturalGas,gen4_led,NaturalGas,Office,4,7500.0
31891,Marine,CA,Electricity,gen4_led,Electricity,Office,0,17500.0
31892,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Mercantile,2,75000.0
31894,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,Electricity,Warehouse and Storage,5,75000.0
31911,Marine,CA,Electricity,gen4_led,Electricity,Mercantile,0,17500.0
31912,Hot-Dry,CA,Electricity,gen2_t8_halogen,Electricity,Office,0,3000.0
31915,Marine,CA,NaturalGas,gen4_led,Electricity,Mercantile,4,37500.0
31920,Marine,CA,NaturalGas,gen4_led,NaturalGas,Mercantile,2,17500.0
31922,Hot-Dry,CA,Electricity,gen2_t8_halogen,NaturalGas,Warehouse and Storage,2,75000.0
31930,Hot-Dry,CA,Electricity,gen4_led,Electricity,Warehouse and Storage,4,37500.0
31960,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Office,3,3000.0
31971,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Mercantile,1,37500.0
31974,Hot-Dry,CA,NaturalGas,gen2_t8_halogen,NaturalGas,Warehouse and Storage,4,7500.0
